EntityID,Entidad,DxSindromatico
1578,MALLAMAS EPS,DOLOR DE ESPALDA
1585,MUNDIAL DE SEGUROS,DOLOR LUMBAR IRRADIADO Y PARESTESIAS
1619,ASOCIACION INDIGENA DEL CAUCA AIC,DOLOR MUSCULAR SIN OTROS SINTOMAS
1700,ASOCIACION INDIGENA DEL CAUCA AIC,ARDOR PARA ORINAR
1800,MALLAMAS EPS,MASTITIS POR LACTANCIA
1864,UNION TEMPORAL TOLIHUILA,DOLOR TORACICO CON LA INSPIRACION
1885,COMPENSAR E.P.S CONTRIBUTIVO,DOLOR TORACICO CON LA INSPIRACION
1890,MAGENTA SEGUROS LTDA,VERTIGO CON EMESIS
2064,E.P.S. SANITAS CONTRIBUTIVO.,ABUSO FISICO
2119,ASMET SALUD CONTRIBUTIVO,CEFALEA CRONICA
2137,POSITIVA COMPAÑIA DE SEGUROS,CEFALEA
2186,EMSSANAR E.P.S S.A.S,SINDROME CONVULSIVO
2203,MALLAMAS EPS,SEPSIS
2204,ALIANZA MEDELLIN ANTIOQUIA EPS SAS,DOLOR NO ESPECIFICADO
2224,EPS SURAMERICANA S.A.,DOLOR AGUDO
2232,LA EQUIDAD SEGUROS O.C,HERIDA DE OTRA PARTE NO ESPECIFICADA
2270,ASMET SALUD CONTRIBUTIVO,HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
2456,E.P.S. SANITAS CONTRIBUTIVO.,LESION PENETRANTE TORAX
2492,E.P.S. SANITAS CONTRIBUTIVO.,ABDOMEN AGUDO
2636,SEGUROS COMERCIAL BOLIVAR SOAT,FRACTURA DE MIEMBRO SUPERIOR NIVEL NO ESPECIFICADO
2754,ARMADA NACIONAL,HERIDA DE OTRA PARTE NO ESPECIFICADA
2863,SERV. OCCID. DE SALUD S.O.S.,ABUSO SEXUAL
2874,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,"ALERGIA, CONGESTION NASAL, ESTORNUDOS"
2891,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,CUERPO EXTRAÑO EN EL OJO
2901,SEGUROS DE VIDA SURAMERICANA Y ARL SURA,ENVENENAMIENTO ACCIDENTAL
2922,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,TRASTORNO MENTAL ORGANICO O SINTOMATICO NO ESPECIFICADO
82,EPS FAMISANAR SAS,DIARREA SIN COMPROMISO GENERAL
149,SERV. OCCID. DE SALUD S.O.S.,DIARREA SIN COMPROMISO GENERAL
189,EPS FAMISANAR SAS,DOLOR ABDOMINAL
202,ASOCIACION DE CABILDOS INDIGENAS DEL CESAR DUSAKAWI,DOLOR ABDOMINAL CON DIARREA Y DHT
255,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,CEFALEA Y FIEBRE
315,MALLAMAS EPS,DISNEA PACIENTE ANSIOSA
371,DIRECCION DE SANIDAD MILITAR,ANEMIA POR DEFICIENCIA DE HIERRO
448,NUEVA EPS,SANGRADO EN PACIENTE HEMOFILICO
516,CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA,TRAUMA PENETRANTE
715,DIRECCION DE SANIDAD MILITAR,CONJUNTIVITIS AGUDA NO ESPECIFICADA
764,E.P.S. SANITAS CONTRIBUTIVO.,TRAUMA OCULAR NO AGUDO
835,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,MAREO
846,MALLAMAS EPS,VERTIGO CON EMESIS
900,UNION TEMPORAL TOLIHUILA,EPISTAXIS + HTA + CEFALEA
1032,UNION TEMPORAL TOLIHUILA,DOLOR TORACICO CON TOS Y FIEBRE
1057,UNION TEMPORAL TOLIHUILA,AMIGDALITIS AGUDA
1058,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,"ODINOFAGIA, ADENOPATIAS Y FIEBRE"
1101,MALLAMAS EPS,TOS CRONICA
1110,ASMET SALUD CONTRIBUTIVO,CRISIS  ASMATICAS
1113,EMSSANAR E.P.S S.A.S,SINDROME FEBRIL
1240,MALLAMAS EPS,INSUFICIENCIA RESPIRATORIA AGUDA
1274,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,DOLOR ABDOMINAL CONSTANTE
1425,FIDUCIARIA CENTRAL,CELULITIS DE SITIO NO ESPECIFICADO
1448,E.P.S. SANITAS CONTRIBUTIVO.,PSORIASIS NO ESPECIFICADA
1460,EPS FAMISANAR SAS,URTICARIA NO ESPECIFICADA
1467,E.P.S. SANITAS CONTRIBUTIVO.,QUEMADURAS
1520,E.P.S. SANITAS CONTRIBUTIVO.,DOLOR LUMBAR CRONICO
1615,NUEVA EPS,CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL
1628,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,HERIDA DE OTRA PARTE NO ESPECIFICADA
1632,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,DOLOR TORAXICO
1792,E.P.S. SANITAS CONTRIBUTIVO.,HEMORRAGIA UTERINA DISFUNCIONAL
1796,ASMET SALUD CONTRIBUTIVO,MIOMATOSIS UTERINA
1797,E.P.S. SANITAS CONTRIBUTIVO.,DISMENORREA
1918,NUEVA EPS,ANEMIA POR DEFICIENCIA DE HIERRO SIN OTRA ESPECIFICACION
1924,PIJAOSALUD EPS-I,DOLOR ABDOMINAL CONSTANTE
1925,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,DOLOR SEVERO TIPO COLICO EN FLANCO + HEMATURIA
1930,CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA,DOLOR ABDOMINAL CONSTANTE
1938,NUEVA EPS,CUERPO EXTRAÑO EN FARINGE SIN DISNEA
1978,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DOLOR SEVERO TIPO COLICO EN FLANCO + HEMATURIA
1983,MUNDIAL DE SEGUROS,DOLOR ABDOMINAL SEVERO
2005,SECRETARIA DE SALUD DPTAL DEL HUILA,EDEMA SIN TRAUMA
2009,NUEVA EPS,ENVENENAMIENTO ACCIDENTAL
2031,UNION TEMPORAL TOLIHUILA,RETENCION URINARIA AGUDA
2085,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,EPISODIO CONVULSION
2118,ASOCIACION MUTUAL SER EMPRESA SOLIDARIA DE SALUD EPS-S,CEFALEA
2147,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,TRAUMA EN CADERA CON DOLOR
2172,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,SINCOPE
2309,ASMET SALUD CONTRIBUTIVO,FRACTURAS
2334,ANAS WAYUU EPS,HERIDA DE OTRA PARTE NO ESPECIFICADA
2367,NUEVA EPS,HEMORRAGIA SUBDURAL
2380,MUNDIAL DE SEGUROS,TRAUMA CERRADO
2477,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,TRAUMA CERRADO DE TORAX SIN COMPROMISO GENERAL
2487,MALLAMAS EPS,HERIDAS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL ABDOMEN
2497,POSITIVA COMPAÑIA DE SEGUROS,DOLOR CRONICO
2538,SEGUROS LA PREVISORA,FRACTURA DE MIEMBRO SUPERIOR NIVEL NO ESPECIFICADO
2582,DIRECCION DE SANIDAD MILITAR,HERIDA DEL ANTEBRAZO PARTE NO ESPECIFICADA
2765,SEGUROS DEL ESTADO,TRAUMA PENETRANTE
2779,PARTICULARES,ESGUINCE
2785,SEGUROS COMERCIAL BOLIVAR SOAT,HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
21,NUEVA EPS,HIPERTENSION O HIPOTENSION LEVE
64,E.P.S. SANITAS CONTRIBUTIVO.,TOS SECA MALESTAR GENERAL FIEBRE
89,ASMET SALUD CONTRIBUTIVO,DIABETES
107,COLMEDICA MEDICINA PREPAGADA,DOLOR ABDOMINAL CON DIARREA Y DHT
167,NUEVA EPS,DOLOR ABDOMINAL EN MUJER SEXUALMENTE ACTIVA
248,E.P.S. SANITAS CONTRIBUTIVO.,ENFERMEDAD DE TRANSMISION SEXUAL
363,MUNDIAL DE SEGUROS,ACCIDENTE DE TRANSITO
375,POSITIVA COMPAÑIA DE SEGUROS,DOLOR AGUDO
409,NUEVA EPS,DOLOR MUSCULAR SIN OTROS SINTOMAS
478,E.P.S. SANITAS CONTRIBUTIVO.,DOLOR TORACICO CON LA INSPIRACION
523,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,DEMENCIA NO ESPECIFICADA
598,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DOLOR LUMBAR IRRADIADO Y PARESTESIAS
808,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,TOS CON EXPECTORACION Y FIEBRE
854,ASOCIACION INDIGENA DEL CAUCA AIC,TINNITUS
862,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,HIPERTENSION O HIPOTENSION SEVERA
863,PIJAOSALUD EPS-I,HIPERTENSION O HIPOTENSION SEVERA
932,EPS SURAMERICANA S.A.,TAQUICARDIA SUPRAVENTRICULAR
934,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,TAQUICARDIA SUPRAVENTRICULAR
955,DIRECCION DE SANIDAD MILITAR,EDEMA SIN TRAUMA
1048,E.P.S. SANITAS CONTRIBUTIVO.,CUERPO EXTRAÑO EN FARINGE ASOCIADO A DISNEA
1093,EPS SURAMERICANA S.A.,DISNEA MODERADA
1164,ANAS WAYUU EPS,INSUFICIENCIA RESPIRATORIA AGUDA
1199,ASMET SALUD CONTRIBUTIVO,ABSCESO PERIMIGDALINOS
1279,ASMET SALUD CONTRIBUTIVO,HERNIA INGUINAL
1288,NUEVA EPS,ESTREÑIMIENTO
1392,PARTICULARES,CELULITIS DE SITIO NO ESPECIFICADO
1408,EMPRESA PROMOTORA DE SALUD ECOOPSOS EPS S.A.S,DOLOR TORACICO CON LA PALPACION
1523,COMPAÑIA DE SEGUROS BOLIVAR S.A.,DOLOR CRONICO
1527,CAJA DE COMPENSACION FAMILIAR DEL CHOCO,DOLOR LUMBAR IRRADIADO Y PARESTESIAS
1537,UNION TEMPORAL TOLIHUILA,DOLOR SEVERO EN EXTREMIDAD CON COMPROMISO CIRCULATORIO
1541,MALLAMAS EPS,TRAUMA CERRADO
1621,FIDUCIARIA CENTRAL,DOLOR ABDOMINAL INTERMITENTE
1645,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,DOLOR TORACICO CON LA PALPACION
1727,MALLAMAS EPS,DISURIA POLAQUIURIA SIN FIEBRE VOMITO
1840,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,DISNEA MODERADA
1857,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DOLOR PRECORDIAL
1880,MEDPLUS MEDICINA PREPAGADA,DOLOR ABDOMINAL CONSTANTE
1910,EPS SURAMERICANA S.A.,DOLOR ABDOMINAL CONSTANTE
2047,PARTICULARES,MAREO
2150,SERV. OCCID. DE SALUD S.O.S.,DOLOR AGUDO
2196,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,SINDROME CONVULSIVO
2218,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,HERIDA DE LA CABEZA PARTE NO ESPECIFICADA
2254,ASEGURADORA SOLIDARIA DE COLOMBIA,DOLOR NO ESPECIFICADO
2272,MALLAMAS EPS,CONTUSIONES
2362,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,TRAUMA OCULAR QUIMICO O FISICO
2412,SEGUROS COMERCIAL BOLIVAR SOAT,TRAUMA CERRADO
2529,SEGUROS COMERCIAL BOLIVAR SOAT,HERIDA DE LA PIERNA PARTE NO ESPECIFICADA
2665,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,TRAUMA PENETRANTE
2696,LA EQUIDAD SEGUROS O.C,FRACTURA DE MIEMBRO INFERIOR NIVEL NO ESPECIFICADO
2826,MALLAMAS EPS,CUERPO EXTRAÑO EN FARINGE ASOCIADO A DISNEA
2857,EMSSANAR E.P.S S.A.S,ABUSO SEXUAL
39,EPS SURAMERICANA S.A.,DIARREA SIN COMPROMISO GENERAL
97,ASMET SALUD CONTRIBUTIVO,VERTIGO CON EMESIS
144,MALLAMAS EPS,TOS SECA MALESTAR GENERAL FIEBRE
164,DIRECCION DE SANIDAD MILITAR,SINDROME EMETICO
180,E.P.S. SANITAS CONTRIBUTIVO.,OTALGIA OTORREA Y FIEBRE
311,NUEVA EPS,ARDOR OCULAR
344,NUEVA EPS,"ALERGIA, CONGESTION NASAL, ESTORNUDOS"
346,MALLAMAS EPS,DERMATITIS INFECCIOSA
370,ASMET SALUD CONTRIBUTIVO,DISNEA PACIENTE CON EPOC
411,E.P.S. SANITAS CONTRIBUTIVO.,DOLOR MUSCULAR SIN OTROS SINTOMAS
522,UNION TEMPORAL TOLIHUILA,DEMENCIA NO ESPECIFICADA
616,ASMET SALUD CONTRIBUTIVO,DISMINUCION EN LOS MOVIMIENTOS FETALES
619,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,EPISODIO CONVULSION
658,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,ACCIDENTE  CEREBRO VASCULAR
674,CAPITALSALUD E.P.S - S S.A.S,DOLOR PRECORDIAL
884,ASMET SALUD CONTRIBUTIVO,ACCIDENTE EN DOMICILIO
890,CAJACOPI ARS,MAREO
951,ASOCIACION INDIGENA DEL CAUCA AIC,DISNEA MODERADA
998,ASMET SALUD CONTRIBUTIVO,LESION PENETRANTE TORAX
1019,MALLAMAS EPS,"RINORREA, DOLOR FRONTAL, FIEBRE"
1049,PARTICULARES,AMIGDALITIS AGUDA
1078,SECRETARIA DE SALUD DPTAL DEL HUILA,AMIGDALITIS AGUDA
1139,E.P.S. SANITAS CONTRIBUTIVO.,CRISIS  ASMATICAS
1166,COMPENSAR E.P.S CONTRIBUTIVO,DISNEA SUBITA
1167,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,TOS CON EXPECTORACION Y FIEBRE
1186,E.P.S. SANITAS CONTRIBUTIVO.,URTICARIAS
1220,ASOCIACION INDIGENA DEL CAUCA AIC,CRISIS  ASMATICAS
1227,EMSSANAR E.P.S S.A.S,CRISIS  ASMATICAS
1260,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,DOLOR ABDOMINAL
1396,SEGUROS DEL ESTADO,DOLOR NO ESPECIFICADO
1417,UNION TEMPORAL TOLIHUILA,"DERMATITIS DE CONTACTO, FORMA Y CAUSA NO ESPECIFICADAS"
1464,SECRETARIA DE SALUD DPTAL DEL HUILA,URTICARIA NO ESPECIFICADA
1495,DIRECCION DE SANIDAD MILITAR,DOLOR CRONICO
1502,COMFENALCO  VALLE  SUBSIDIADO,DOLOR NO ESPECIFICADO
1504,ASMET SALUD CONTRIBUTIVO,DOLOR EN DORSO LOCALIZADO
1532,A.R.P. SEGUROS DE VIDA AXA COLPATRIA S.A.,ACCIDENTE LABORAL
1568,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,CONTUSIONES
1649,UNION TEMPORAL TOLIHUILA,DOLOR TORACICO IRRADIADO A CUELLO BRAZO CO DISNEA NAUSEAS O DIAFORESIS
1652,PARTICULARES,DOLOR PRECORDIAL
1666,UNIMAP LTDA,DOLOR ABDOMINAL
1720,DIRECCION DE SANIDAD MILITAR,"DISURIA, POLAQUIURIA, FIEBRE"
1751,E.P.S. SANITAS CONTRIBUTIVO.,CUERPO EXTRAÑO URETRAL
1836,FIDUCIARIA CENTRAL,TUBERCULOSIS
1847,DIRECCION DE SANIDAD MILITAR,DISNEA SUBITA
1901,DIRECCION DE SANIDAD MILITAR,DOLOR TORACICO IRRADIADO A CUELLO BRAZO CO DISNEA NAUSEAS O DIAFORESIS
2121,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,CEFALEA INTENSA MIGRAÑA
2227,SEGUROS LA PREVISORA,HERIDA DE OTRA PARTE NO ESPECIFICADA
2261,SEGUROS GENERALES SURAMERICANA,HERIDA DE LA CABEZA PARTE NO ESPECIFICADA
2383,SECRETARIA DE SALUD DPTAL DEL HUILA,TRAUMATISMO CRANEOENCEFALICO
2439,NUEVA EPS,TRAUMA CERRADO DE MANO Y PIE
2535,E.P.S. SANITAS CONTRIBUTIVO.,HERIDA DEL ANTEBRAZO PARTE NO ESPECIFICADA
2536,UNION TEMPORAL TOLIHUILA,FRACTURAS
2545,UNION TEMPORAL TOLIHUILA,FRACTURA DE LAS COSTILLAS DEL ESTERNON Y DE LA COLUMNA TORACICA DORSAL
2547,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,HERIDA DE LA MUÑECA Y DE LA MANO PARTE NO ESPECIFICADA
2564,NUEVA EPS,AMPUTACION TRAUMATICA
2592,SEGUROS DE VIDA SURAMERICANA Y ARL SURA,HERIDA DEL ANTEBRAZO PARTE NO ESPECIFICADA
2732,SEGUROS DEL ESTADO,FRACTURA DE MIEMBRO INFERIOR NIVEL NO ESPECIFICADO
2757,PARTICULARES,TRAUMA CERRADO DE MANO Y PIE
2797,EMSSANAR E.P.S S.A.S,CUERPO EXTRAÑO EN EL OJO
12,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,SINDROME EMETICO
30,E.P.S. SANITAS CONTRIBUTIVO.,DOLOR ABDOMINAL INTERMITENTE
71,E.P.S. SANITAS CONTRIBUTIVO.,VERTIGO CON EMESIS
92,NUEVA EPS,DISNEA SUBITA
113,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,DIARREA SIN COMPROMISO GENERAL
127,EPS FAMISANAR SAS,CEFALEA Y FIEBRE
247,E.P.S. SANITAS CONTRIBUTIVO.,DERMATITIS HERPETIFORME
280,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,DERMATITIS HERPETIFORME
336,EMSSANAR E.P.S S.A.S,DOLOR ABDOMINAL INTERMITENTE
349,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,PRURITO NO ESPECIFICADO
416,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,ANEMIA NUTRICIONAL
433,ASMET SALUD CONTRIBUTIVO,SANGRADO VAGINAL
481,DIRECCION DE SANIDAD MILITAR,DISNEA MODERADA
635,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,CEFALEA INTENSA MIGRAÑA
699,E.P.S. SANITAS CONTRIBUTIVO.,BLEFAROCONJUNTIVITIS
700,UNION TEMPORAL SALUD SUR2,CONJUNTIVITIS AGUDA NO ESPECIFICADA
702,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,DOLOR OCULAR
714,UNION TEMPORAL TOLIHUILA,CONJUNTIVITIS AGUDA NO ESPECIFICADA
860,NUEVA EPS,PALPITACIONES SIN COMPROMISO GENERAL
883,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,HIPERTENSION O HIPOTENSION LEVE
921,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,AUSENCIA PULSO  PARO
949,E.P.S. SANITAS CONTRIBUTIVO.,DISNEA CON TIRAJES  CIANOSIS
974,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,HIPERTENSION O HIPOTENSION SEVERA
979,ASMET SALUD CONTRIBUTIVO,ANEURISMA  ABDOMINAL
1099,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,CEFALEA
1123,PROFESIONALES DE LA SALUD S.A,RINORREA CONGESTION NASAL
1159,EPS FAMISANAR SAS,DOLOR TORACICO CON TOS Y FIEBRE
1175,FIDUCIARIA CENTRAL,DOLOR TORAXICO
1184,UNION TEMPORAL TOLIHUILA,DISNEA SUBITA
1295,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,ESTREÑIMIENTO
1357,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,ABSCESO PIEL
1471,NUEVA EPS,UÑA ENCARNADA
1553,SEGUROS LA PREVISORA,DOLOR NO ESPECIFICADO
1559,COMPAÑIA DE SEGUROS BOLIVAR S.A.,HERIDA DE OTRA PARTE NO ESPECIFICADA
1608,E.P.S. SANITAS CONTRIBUTIVO.,TRAUMATISMO CRANEOENCEFALICO
1654,ASOCIACION INDIGENA DEL CAUCA AIC EPS-I-C3,HEMATURIA
1668,SECRETARIA DE SALUD DPTAL DEL HUILA,DOLOR ABDOMINAL INTERMITENTE
1718,COMPENSAR E.P.S CONTRIBUTIVO,INFECCION VIAS URINARIAS
1732,NUEVA EPS,PIELONEFRITIS
1832,FIDUCIARIA CENTRAL,TOS CON EXPECTORACION Y FIEBRE
1862,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,DOLOR TORAXICO
1869,UNION TEMPORAL SALUD SUR2,DOLOR TORACICO CON LA PALPACION
1916,CAJACOPI EPS S.A.S,DOLOR ABDOMINAL INTERMITENTE
2035,MALLAMAS EPS,RETENCION URINARIA AGUDA
2042,ASOCIACION INDIGENA DEL CAUCA AIC,SINCOPE
2155,FIDUCIARIA CENTRAL,TRAUMA CERRADO DE TORAX SIN COMPROMISO GENERAL
2157,PARTICULARES,DOLOR LUMBAR IRRADIADO Y PARESTESIAS
2169,ALIANZA MEDELLIN ANTIOQUIA EPS SAS,SINCOPE O LIPOTIMIA
2187,EPS SURAMERICANA S.A.,EPISODIO CONVULSION
2276,MALLAMAS EPS,HERIDA DE LA CABEZA PARTE NO ESPECIFICADA
2390,DIRECCION DE SANIDAD MILITAR,CONTUSIONES
2430,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,ACCIDENTE EN DOMICILIO
2468,PARTICULARES,HERIDA DE LA PIERNA PARTE NO ESPECIFICADA
2542,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,FRACTURAS
2558,E.P.S. SANITAS CONTRIBUTIVO.,HERIDA DE LA MUÑECA Y DE LA MANO PARTE NO ESPECIFICADA
2570,UNION TEMPORAL TOLIHUILA,TRAUMA CERRADO DE MANO Y PIE
2622,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,ACCIDENTE EN DOMICILIO
2673,SECRETARIA DE SALUD DPTAL DEL HUILA,AMPUTACION TRAUMATICA
2896,NUEVA EPS,FRACTURAS MULTIPLES NO ESPECIFICADAS
2918,DIRECCION DE SANIDAD MILITAR,HIPERTENSION O HIPOTENSION SEVERA
28,SALUD TOTAL S.A E.P.S CONTRIBUTIVO,CEFALEA Y FIEBRE
45,UNION TEMPORAL TOLIHUILA,DOLOR ABDOMINAL CON DIARREA Y DHT
78,BATALLON DE ASPC N° 30 GUACIMALES CUCUTA,PARESTESIAS ASOCIADAS A ANSIEDAD
98,E.P.S. SANITAS CONTRIBUTIVO.,EPISODIO CONVULSION
134,MALLAMAS EPS,DOLOR ABDOMINAL CONSTANTE
274,E.P.S. SANITAS CONTRIBUTIVO.,PRURITO NO ESPECIFICADO
282,NUEVA EPS,OTALGIA OTORREA Y FIEBRE
286,NUEVA EPS,DOLOR TORAXICO
287,E.P.S. SANITAS CONTRIBUTIVO.,DOLOR PRECORDIAL
296,E.P.S. SANITAS CONTRIBUTIVO.,AMIGDALITIS AGUDA
307,NUEVA EPS,ABSCESO PIEL
328,MALLAMAS EPS,"DERMATITIS DE CONTACTO, FORMA Y CAUSA NO ESPECIFICADAS"
430,NUEVA EPS,MAREO
443,E.P.S. SANITAS CONTRIBUTIVO.,SANGRADO EN PACIENTE HEMOFILICO
456,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,PALPITACIONES CON PULSO IRREGULAR
488,E.P.S. SANITAS CONTRIBUTIVO.,VERTIGO SIN EMESIS
515,EPS Y MEDICINA PREPAGADA SURAMERICANA S. A,SINDROME EMETICO
544,E.P.S. SANITAS CONTRIBUTIVO.,ENVENENAMIENTO ACCIDENTAL
547,MALLAMAS EPS,TRASTORNO MENTAL
694,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,CONJUNTIVITIS
728,E.P.S. SANITAS CONTRIBUTIVO.,TRAUMATISMO DEL OJO Y DE LA ORBITA
742,UNION TEMPORAL TOLIHUILA,DISMINUCION SUBITA AGUDEZA VISUAL
788,COOPERATIVA DE SALUD Y DESARROLLO INTEGRAL COOSALUD,TRAUMA OCULAR QUIMICO O FISICO
822,CRUZ ROJA COLOMBIANA SECCIONAL CUNDINAMARCA Y BOGOTA,OTALGIA OTORREA Y FIEBRE
837,ADRES DE LOS RECURSOS DEL SITEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,VERTIGO SIN EMESIS
882,NUEVA EPS,PIROSIS
901,ASMET SALUD CONTRIBUTIVO,DOLOR TORACICO CON LOS MOVIMIENTOS DEL TRONCO
923,NUEVA EPS,AUSENCIA PULSO  PARO
973,REGIONAL DE ASEGURAMIENTO EN SALUD N 2,ACCIDENTE  CEREBRO VASCULAR
